Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
M342,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M343,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M344,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M345,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M346,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M347,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M348,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M35,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M36,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M361,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M362,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M363,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M364,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M365,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M366,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M367,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M368,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M369,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M37,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M370,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M371,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M372,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M373,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M374,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M375,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M376,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M377,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M378 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M379 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M38,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M380 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M381,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M382,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M383,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M384,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M385,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M386,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M387,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M388,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M389,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M39,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M4,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1937,Actual
M401,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M402,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M403,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M404,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M405,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M406,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M407,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M408,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M409 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M410 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M411,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M412,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M413,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M414,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M415,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M416,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M417 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M418 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M419 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M420 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M421,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M422,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M423,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M424,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M425,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M426,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M427,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M428,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M429 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M430 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M431,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M432,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M433,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M434,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M435,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M436,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M437,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M438,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M439 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M440 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M441,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M442,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M443,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M444,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M445,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M446,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M447 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M448 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M449 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M450 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M451 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M452 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M453 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M454 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M455 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M456 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M457 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M458 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M459,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M460,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M461,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M462,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M463,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M464 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M465 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M466 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M467,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M468,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M469,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M470,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M471,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M472 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M473 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M474 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M475,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M476,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M477 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M478 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M479 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M480 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M481 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M482 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M483,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M484,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M485 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M486,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M487 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M488 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M489,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M490 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M491 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M492 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M493 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M494 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M495,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M496,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M5,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1937,Actual
M6,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1938,Actual
M601 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M602 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M603 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M604 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M605 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M606 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M607 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M608 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M609 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M610 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M611 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M612 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M613 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M614 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M615 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M616 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M617 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M618 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M619 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M620 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M621 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M622 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M623 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M624 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M625 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M626 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M627 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M628 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M629 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M630 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M631 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M632 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M633 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M7,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1937,Actual
M8,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1937,Actual
M801 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M802 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M803 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M804 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M805 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M806 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M807 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M808 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M809 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M81,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M810 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M811 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M812 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M813 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M814 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M815 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M816 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M82,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M83,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M84,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M85,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M9,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1937,Actual
Macabi,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Mackerel,Mackerel-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Mahan,Mahan-class Destroyer,Destroyer,United States Navy,USN,United States,1935,Actual
Makin Island,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1944,Actual
Malaya,Queen Elizabeth-class Battleship,Battleship,Royal Navy,RN,United Kingdom,1915,Actual
Manila Bay,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Manta,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Mapiro,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Marblehead,Omaha-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1923,Actual
Marcus Island,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Marlin,Mackerel-class Submarine,Submarine,United States Navy,USN,United States,1941,Actual
Marseillaise,La GalissonniÃ¨re-class Light Cruiser,Light Cruiser,French Navy,MN,France,1935,Actual
Maryland,Colorado-class Battleship,Battleship,United States Navy,USN,United States,1920,Actual
MAS-class Summary Information,MAS-class Motor Torpedo Boat,Motor Torpedo Boat,Regia Marina,RM,Italy,,No Data
Mason,Evarts-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1943,Actual
Massachusetts,South Dakota-class Battleship,Battleship,United States Navy,USN,United States,1941,Actual
Matsu,Matsu-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1944,Actual
Mauritius,Crown Colony-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1939,Actual
Maury,Gridley-class Destroyer,Destroyer,United States Navy,USN,United States,1938,Actual
Maxim Gorkiy,Kirov-class Light Cruiser,Light Cruiser,Soviet Navy,VMF,Russia,1938,Actual
Maya,Takao-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1930,Actual
McCall,Gridley-class Destroyer,Destroyer,United States Navy,USN,United States,1937,Actual
McDougal,Porter-class Destroyer,Destroyer,United States Navy,USN,United States,,No Data
McFarland,Clemson-class Destroyer,Destroyer,United States Navy,USN,United States,1920,Actual
Memphis,Omaha-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1924,Actual
Menhaden,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Mero,Balao-class Submarine,Submarine,United States Navy,USN,United States,1945,Actual
Miami,Cleveland-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1942,Actual
Michel,No Classification,No Classification,Kriegsmarine,KM,Germany,1939,Actual
Michishio,Asashio-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1937,Actual
Mikuma,Mogami-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1934,Actual
Milfoil,Flower-class Corvette,Corvette,Royal Navy,RN,United Kingdom,1942,Actual
Milwaukee,Omaha-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1921,Actual
Minegumo,Asashio-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1938,Actual
Mingo,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Minneapolis,New Orleans-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1933,Actual
Minquan,No Classification,No Classification,Republic of China Navy,ROCN,China,1929,Actual
Mircea,Gorch Fock-class Barque,Barque,Kriegsmarine,KM,Germany,1938,Actual
Mississippi,New Mexico-class Battleship,Battleship,United States Navy,USN,United States,1917,Actual
Missouri,Iowa-class Battleship,Battleship,United States Navy,USN,United States,1944,Actual
Mitragliero,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Mogami,Mogami-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1934,Actual
Molotov,Kirov-class Light Cruiser,Light Cruiser,Soviet Navy,VMF,Russia,1939,Actual
Monaghan,Farragut-class Destroyer,Destroyer,United States Navy,USN,United States,1935,Actual
Montcalm,La GalissonniÃ¨re-class Light Cruiser,Light Cruiser,French Navy,MN,France,1935,Actual
Monterey,Independence-class Light Carrier,Light Carrier,United States Navy,USN,United States,1943,Actual
Montevideo Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,,No Data
Montpelier,Cleveland-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1942,Actual
Moray,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
MT-class Summary Information,MT-class Motor Torpedo Boat,Motor Torpedo Boat,Regia Marina,RM,Italy,,No Data
Mugford,Bagley-class Destroyer,Destroyer,United States Navy,USN,United States,1936,Actual
Murasame,Shiratsuyu-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1937,Actual
Musashi,Yamato-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1940,Actual
Muskallunge,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Mutsu,Nagato-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1920,Actual
Mutsuki,Mutsuki-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1926,Actual
Myoko,Myoko-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1927,Actual
MÃ¶we,1923-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1926,Actual
N (Planned),M-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1945,"(Projected, not actual)"
N (Planned),H-class Battleship,Battleship,Kriegsmarine,KM,Germany,1943,"(Projected, not actual)"
N,No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
N (Planned),M-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1942,"(Projected, not actual)"
N2 (Planned),M2-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1947,"(Projected, not actual)"
Nachi,Myoko-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1927,Actual
Nagara,Nagara-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1922,Actual
Nagato,Nagato-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1919,Actual
Nagatsuki,Mutsuki-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1927,Actual
Naka,Sendai-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1925,Actual
Narwhal,Narwhal-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Nashville,Brooklyn-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1937,Actual
Natoma Bay,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Natori,Nagara-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1922,Actual
Nautilus,Narwhal-class Submarine,Submarine,United States Navy,USN,United States,1930,Actual
Nehenta Bay,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,,No Data
Nelson,Nelson-class Battleship,Battleship,Royal Navy,RN,United Kingdom,1925,Actual
Neptune,Leander-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1933,Actual
Nevada,Nevada-class Battleship,Battleship,United States Navy,USN,United States,1914,Actual
New Jersey,Iowa-class Battleship,Battleship,United States Navy,USN,United States,1942,Actual
New Mexico,New Mexico-class Battleship,Battleship,United States Navy,USN,United States,1917,Actual
New Orleans,New Orleans-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1933,Actual
New York,New York-class Battleship,Battleship,United States Navy,USN,United States,1912,Actual
Newcastle,Town-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1936,Actual
Ninghai,Ninghai-class Light Cruiser,Light Cruiser,Republic of China Navy,ROCN,China,1931,Actual
Nisshin,Nisshin-class Seaplane Carrier,Seaplane Carrier,Imperial Japanese Navy,IJN,Japan,1939,Actual
No. 101/103-class Summary Information,No. 101/103-class Landing Ship,Landing Ship,Imperial Japanese Navy,IJN,Japan,,No Data
Nordmark,Dithmarschen-class Auxiliary,Auxiliary,Kriegsmarine,KM,Germany,1937,Actual
North Carolina,North Carolina-class Battleship,Battleship,United States Navy,USN,United States,1940,Actual
Northampton,Northampton-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1929,Actual
Noshiro,Agano-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1942,Actual
Nymphe,No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
NÃ¼rnberg,Leipzig-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1934,Actual
O (Planned),O-class Battlecruiser,Battlecruiser,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
O (Planned),M-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1943,"(Projected, not actual)"
O (Planned),M-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1945,"(Projected, not actual)"
O'Brien,Sims-class Destroyer,Destroyer,United States Navy,USN,United States,1939,Actual
O2 (Planned),M2-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1947,"(Projected, not actual)"
Oberon,O-class Submarine,Submarine,Royal Navy,RN,United Kingdom,1926,Actual
Oi,Kuma-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1920,Actual
Oklahoma,Nevada-class Battleship,Battleship,United States Navy,USN,United States,,No Data
Ommaney Bay,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Onami,Yugumo-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,,No Data
Oregon,Indiana-class Battleship,Battleship,United States Navy,USN,United States,1893,Actual
Orion,No Classification,No Classification,Kriegsmarine,KM,Germany,1930,Actual
Orzel,Orzel-class Submarine,Submarine,Polish Navy,PMW,Poland,1938,Actual
Oshio,Asashio-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,,No Data
Ostmark,No Classification,No Classification,Kriegsmarine,KM,Germany,1936,Actual
Otto WÃ¼nsche,Otto WÃ¼nsche-class Submarine Tender,Submarine Tender,Kriegsmarine,KM,Germany,1940,Actual
Oyodo,Oyodo-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1942,Actual
P (Planned),M-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1945,"(Projected, not actual)"
P (Planned),O-class Battlecruiser,Battlecruiser,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
P (Planned),M-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1943,"(Projected, not actual)"
